id,sentence,difficulty,cleaned_text
425,C'était sa grande différence entre lui et moi.,B1,ctait grande diffrence entre
426,Je n'ai pas beaucoup d'occasions d'écouter les chansons modernes.,A2,nai beaucoup doccasions dcouter chansons modernes
427,"Il aura de bons rapports avec la dernière femme de son père, Lucrezia Guglielmo Cortigiani, et laissera une note l'appelant ""chère et douce mère"".",C2,bons rapports dernire femme pre lucrezia guglielmo cortigiani laissera note lappelant chre douce mre
428,"Le détachement procuré par le statut de voyageur facilite-t-il la transgression des normes, légales ou morales, auxquelles est tenu un individu avec domicile fixe ?",C2,dtachement procur statut voyageur facilitetil transgression normes lgales morales auxquelles tenu individu domicile fixe
429,j'aime beaucoup faire du parapente.,A1,jaime beaucoup faire parapente
430,Moi je pense que l'école ne peut pas tout faire.,A2,pense lcole peut tout faire
431,"Quand ils se verront, elle pleurera et elle s'évanouira ; l'émotion sera trop grande.",B1,quand verront pleurera svanouira lmotion trop grande
432,"Elle me répondit avec bonté, me donna des conseils affectueux, m'offrit une amitié sincère, mais me déclara que jusqu'au retour du comte de P *** elle ne pourrait me recevoir.",C2,rpondit bont donna conseils affectueux moffrit amiti sincre dclara jusquau retour comte p pourrait recevoir
433,Vraiment?,A1,vraiment
434,Viens ici!,A1,viens ici
435,Il annonce qu'il va faire appel.,A2,annonce quil va faire appel
436,J'ai perdu mes feuilles !,A1,jai perdu feuilles
437,"Dani, est-ce que tu t'es inscrite à ton concours administratif ?",A1,dani estce inscrite concours administratif
438,"Même si Limoges est une grande ville, elle n'a rien à voir avec Paris !",A1,mme si limoges grande ville na rien voir paris
439,"Ce précieux instrument, d'origine américaine, envoyait, sans se gêner, un projectile conique de quatre kilogrammes à une distance moyenne de seize kilomètres.",B2,prcieux instrument dorigine amricaine envoyait sans gner projectile conique quatre kilogrammes distance moyenne seize kilomtres
440,Tu es ridicule.,A1,ridicule
441,"Choisir un logement n'est pas évident: certains achètent un appartement en ville, d'autres préfèrent une maison à la campagne.",B1,choisir logement nest vident certains achtent appartement ville dautres prfrent maison campagne
442,"Plus près de nous, l'internationalisation des marchés financiers, la diffusion de l'information par les médias électroniques et les autres avatars de la mondialisation ont intensifié la menace qui pesait déjà sur les petites langues.",C1,plus prs linternationalisation marchs financiers diffusion linformation mdias lectroniques autres avatars mondialisation intensifi menace pesait dj petites langues
443,"Ce qui change vraiment, c'est la façon de favoriser l'accès à la connaissance.",B1,change vraiment cest faon favoriser laccs connaissance
444,"Leurs branches étaient complètement nues, tandis que toutes leurs feuilles étaient tombées par terre.",B2,leurs branches taient compltement nues tandis toutes leurs feuilles taient tombes terre
445,"De plus, ton inattention augmentera son désir de captiver ton attention, de t'intéresser, de te plaire, la remplira d'un sentiment confus de respect.",C2,plus inattention augmentera dsir captiver attention tintresser plaire remplira dun sentiment confus respect
446,"Je poursuivis longtemps de la sorte, levant toutes les objections, retournant de mille manières tous les raisonnements qui plaidaient en ma faveur.",C2,poursuivis longtemps sorte levant toutes objections retournant mille manires tous raisonnements plaidaient faveur
447,"Soit le commerce équitable est réduit délibérément à une des formes de la politique sociale du libéralisme, faisant prévaloir les oeuvres caritatives sur les droits sociaux, soit il est au contraire un véritable enjeu de société.",C1,commerce quitable rduit dlibrment formes politique sociale libralisme faisant prvaloir oeuvres caritatives droits sociaux contraire vritable enjeu socit
448,"Non, je ne le trouve pas !",A1,non trouve
449,Ils ont beaucoup d'idées,A1,beaucoup dides
450,C'est comme ça tous les jours.,A2,cest comme a tous jours
451,"La conscience malheureuse, c'est donc le mauvais infini tel que la philosophie de Fichte amène à le concevoir.",C2,conscience malheureuse cest donc mauvais infini tel philosophie fichte amne concevoir
452,"Une langue qui n'est pas employée sur Internet ""n'existe plus"" dans le monde moderne.",B1,langue nest employe internet nexiste plus monde moderne
453,"Avant de boire une tasse de café, il faut faire pousser le plan de café, le récolter, le transporter, l'emballer, le vendre et le préparer",B1,avant boire tasse caf faut faire pousser plan caf rcolter transporter lemballer vendre prparer
454,La stratégie de sauvegarde des données constitue la pierre angulaire d'un plan de continuité et de reprise car elle va permettre d'assurer le critère de disponibilité.,C1,stratgie sauvegarde donnes constitue pierre angulaire dun plan continuit reprise car va permettre dassurer critre disponibilit
455,"Je veux trouver un cadeau d'anniversaire pour ma copine, donc je vais aller au centre commercial",A2,veux trouver cadeau danniversaire copine donc vais aller centre commercial
456,Le ciel était noir.,A2,ciel tait noir
457,J'aimerais que tu fermes la fenêtre avant de partir.,B1,jaimerais fermes fentre avant partir
458,"Les républicains se disaient outrés par d'anciens commentaires les visant nommément, tandis que des progressistes proches de Bernie Sanders la jugeaient trop centriste.",B2,rpublicains disaient outrs danciens commentaires visant nommment tandis progressistes proches bernie sanders jugeaient trop centriste
459,"A gauche, c'est ma salle de bain, avec vue sur mon jardin. Je me sens très bien dans ma nouvelle maison !",A2,a gauche cest salle bain vue jardin sens trs bien nouvelle maison
460,"Que ces acteurs, telle la marque Max Havelaar, croient ou feignent de croire qu'ils disposent du rapport de force nécessaire pour infléchir les pratiques de ces multinationales, c'est leur droit.",C1,acteurs telle marque max havelaar croient feignent croire quils disposent rapport force ncessaire inflchir pratiques multinationales cest droit
461,Il travaille à Rome,A1,travaille rome
462,Je me débattais intérieurement : j'étais indigné contre moi-même.,C2,dbattais intrieurement jtais indign contre moimme
463,"Entre-temps, après avoir réalisé un bénéfice, Piero acheta une plaque décorée d'un coeur transpercé d'une flèche qu'il donna au paysan.",C1,entretemps aprs avoir ralis bnfice piero acheta plaque dcore dun coeur transperc dune flche quil donna paysan
464,Pourquoi on ne peut pas jouer avec Jules et Alice ?,A1,pourquoi peut jouer jules alice
465,Cette activité apparait dans la religion grecque de l'Antiquité comme un cadeau qui est toutefois imposé aux Hommes pour qu'ils puissent survivre,C2,cette activit apparait religion grecque lantiquit comme cadeau toutefois impos hommes quils puissent survivre
466,Alexandre aimait réviser à l'université pour flirter avec des filles de la faculté de droit,B1,alexandre aimait rviser luniversit flirter filles facult droit
467,"Du moment qu'on a une démocratie, on doit écouter le peuple.",B1,moment quon a dmocratie doit couter peuple
468,"En revanche, le sapin n'avait pas perdu une seule aiguille.",A2,revanche sapin navait perdu seule aiguille
469,"Elle n'aime pas les reproches, elle est susceptible.",B1,naime reproches susceptible
470,Il y a des régions où les enfants ne vont pas à l'école le mercredi.,A2,a rgions o enfants vont lcole mercredi
471,Il est midi et quize minutes.,A1,midi quize minutes
472,Il a participé à la construction du canal ?,A2,a particip construction canal
473,J'adore la cuisine ici,A2,jadore cuisine ici
474,J'ai posé le courrier sur la table.,A2,jai pos courrier table
475,"En plus, comme il faisait très beau on mangeait toujours dans le jardin avec des amis ou des voisins, j'ai beaucoup parlé, tu sais !",B1,plus comme faisait trs beau mangeait toujours jardin amis voisins jai beaucoup parl sais
476,Mais la société a évolué et si l'école ne le fait pas il y aura de plus en plus de jeunes comme ceux que décrit Mlle Lesueur.,A2,socit a volu si lcole fait plus plus jeunes comme ceux dcrit mlle lesueur
477,D'où tu viens?,A1,do viens
478,Je n'aime pas cette photo.,A1,naime cette photo
479,"Sa grand-mère paternelle, céramiste et proche de Léonard, est peut-être la personne qui l'initia aux arts.",C1,grandmre paternelle cramiste proche lonard peuttre personne linitia arts
480,"Nous nous installions dans la maison de vacances, puis nous prenions l'apéritif avec les voisins",A2,installions maison vacances puis prenions lapritif voisins
481,Je crois que c'est surtout pour me faire plaisir.,A2,crois cest surtout faire plaisir
482,Ces chiffres sont susceptibles de varier au cours de cette année.,B2,chiffres susceptibles varier cours cette anne
483,"Le résultat de ces deux études démontrent que chez les personnes par ailleurs en bonne santé et menant un train de vie normal, les valeurs en ferritine n'influencent pas à elles seules des degrés de fatigue divers.",C2,rsultat deux tudes dmontrent chez personnes ailleurs bonne sant menant train vie normal valeurs ferritine ninfluencent elles seules degrs fatigue divers
484,"La fenêtre s'est refermée sur ma main, ça fait mal.",B1,fentre sest referme main a fait mal
485,Le restaurant n'est pas loin du musée du Louvre,A1,restaurant nest loin muse louvre
486,"Liberté privée, ordre public: telle est l'équation fétiche des Français.",B2,libert prive ordre public telle lquation ftiche franais
487,Il veut aller à la montagne,A2,veut aller montagne
488,Je commence par un petit-déjeuner dans un café près de l'Arc de Triomphe avec des croissants délicieux,B1,commence petitdjeuner caf prs larc triomphe croissants dlicieux
489,"Inversement, les régions tempérées lointaines n'intéressent que médiocrement les colonisateurs jusqu'à l'explosion démographique du Vieux Continent au XIXe siècle, moment où les ""pays neufs"" deviennent des prolongements européens.",C2,inversement rgions tempres lointaines nintressent mdiocrement colonisateurs jusqu lexplosion dmographique vieux continent xixe sicle moment o pays neufs deviennent prolongements europens
490,"Les gourmets, adeptes de bistronomie, s'en voient souvent proposé en plateau accompagné de fruits secs, voire de confiture ; un mélange sucré salé qui sied parfaitement aux apéritifs dinatoires si chers aux papilles hexagonales.",C2,gourmets adeptes bistronomie sen voient souvent propos plateau accompagn fruits secs voire confiture mlange sucr sal sied parfaitement apritifs dinatoires si chers papilles hexagonales
491,Un héritier : un héritier est une personne qui reçoit des droits ou un patrimoine après la mort d'une personne.,A2,hritier hritier personne reoit droits patrimoine aprs mort dune personne
492,Je m'appelle Jessica,A1,mappelle jessica
493,Je vous remercie et je vous souhaite une très bonne journée.,A2,remercie souhaite trs bonne journe
494,"On ne pouvait citer aucune action condamnable ; on ne pouvait même m'en contester quelques-unes qui semblaient annoncer de la générosité ou du dévouement ; mais on disait que j'étais un homme immoral, un homme peu sûr : deux épithètes heureusement inventées pour insinuer les faits qu'on ignore, et laisser deviner ce qu'on ne sait pas.",C2,pouvait citer aucune action condamnable pouvait mme men contester quelquesunes semblaient annoncer gnrosit dvouement disait jtais homme immoral homme peu sr deux pithtes heureusement inventes insinuer faits quon ignore laisser deviner quon sait
495,Tu dois te couper les ongles.,A2,dois couper ongles
496,"Avec la distanciation sociale, les occasions de se réunir ont également été moins fréquentes.",B2,distanciation sociale occasions runir galement moins frquentes
497,"Le dessein de lui plaire, mettant dans ma vie un nouvel intérêt, animait mon existence d'une manière inusitée.",C2,dessein plaire mettant vie nouvel intrt animait existence dune manire inusite
498,"Comme mon père parlait toujours du côté de Méséglise comme de la plus belle vue de la plaine qu'il connût et du côté de Guermantes comme du type de paysage de rivière, je leur donnais, en les concevant ainsi comme deux entités, cette cohésion, cette unité qui n'appartiennent qu'aux créations de notre esprit ; la moindre parcelle de chacun d'eux me semblait précieuse et manifester leur excellence particulière, tandis qu'à côté d'eux, avant qu'on fût arrivé sur le sol sacré de l'un ou de l'autre, les chemins purement matériels au milieu desquels ils étaient posés comme l'idéal de la vue de plaine et l'idéal du paysage de rivière, ne valaient pas plus la peine d'être regardés que par le spectateur épris d'art dramatique les petites rues qui avoisinent un théâtre.",C2,comme pre parlait toujours ct msglise comme plus belle vue plaine quil connt ct guermantes comme type paysage rivire donnais concevant ainsi comme deux entits cette cohsion cette unit nappartiennent quaux crations esprit moindre parcelle chacun deux semblait prcieuse manifester excellence particulire tandis ct deux avant quon ft arriv sol sacr lun lautre chemins purement matriels milieu desquels taient poss comme lidal vue plaine lidal paysage rivire valaient plus peine dtre regards spectateur pris dart dramatique petites rues avoisinent thtre
499,"Si vous voulez attendre au bar, on vous appellera quand ce sera prêt.",A2,si voulez attendre bar appellera quand prt
500,"Cet emballage innovant, allié au développement des lignes de chemin de fer, permit la distribution du camembert dans d'autres régions de France, mais aussi à l'étranger.",B2,cet emballage innovant alli dveloppement lignes chemin fer permit distribution camembert dautres rgions france aussi ltranger
501,"La vie, en outre, est composée des choses les plus différentes, les plus imprévues, les plus contraires, les plus disparates; elle est brutale, sans suite, sans chaîne, pleine de catastrophes inexplicables, illogiques et contradictoires qui doivent être classées au chapitre faits divers.",C1,vie outre compose choses plus diffrentes plus imprvues plus contraires plus disparates brutale sans suite sans chane pleine catastrophes inexplicables illogiques contradictoires doivent tre classes chapitre faits divers
502,Il regarde la télévision.,A1,regarde tlvision
503,Le démon voulait trouver une cachette pour ne pas revoir la méchante femme.,B1,dmon voulait trouver cachette revoir mchante femme
504,Dénoncer une discrimination collectivement acceptée est difficile.,B2,dnoncer discrimination collectivement accepte difficile
505,je suis déjà en train de sortir du lit.,A2,dj train sortir lit
506,Les églises sont animées,B2,glises animes
507,"Certains métiers vont disparaître, mais d'autres apparaître.",C2,certains mtiers vont disparatre dautres apparatre
508,Mais cette révolution ne se manifeste pas seulement dans notre vie quotidienne.,B1,cette rvolution manifeste seulement vie quotidienne
509,"Rares sont celles qui, comme le basque, l'égyptien, le chinois, le grec, l'hébreu, le latin, le persan, le sanskrit, le tamoul et quelques autres ont soufflé leurs 2 000 bougies.",C1,rares celles comme basque lgyptien chinois grec lhbreu latin persan sanskrit tamoul quelques autres souffl leurs bougies
510,"Il a une longue expérience dans un grand nombre de restaurants, mais moins en restauration collective.",B1,a longue exprience grand nombre restaurants moins restauration collective
511,"C'est ce qu'a appris Hervé Brassier qui pourrait parler pendant des heures de son chien guide, Indigo.",B1,cest qua appris herv brassier pourrait parler pendant heures chien guide indigo
512,"Un seigneur quelque peu infernal les attire, un sourire dangereux les trouble.",C1,seigneur quelque peu infernal attire sourire dangereux trouble
513,"Néanmoins, l'existence d'êtres divins n'étant pas un fait prouvé on peut rester sceptique sur les origines du travail relatées précédemment",C2,nanmoins lexistence dtres divins ntant fait prouv peut rester sceptique origines travail relates prcdemment
514,Comme un rappel du massacre des quelque 60 millions de bisons orchestré à la fin du XIXe siècle pour venir à bout des Peaux Rouges.,C1,comme rappel massacre quelque millions bisons orchestr fin xixe sicle venir bout peaux rouges
515,"Suen (Liebowitz, 2000), sont éloquents sur la dispersion et la variété des modes de mesure de ce type en cours aujourd'hui dans les entreprises",C2,suen liebowitz loquents dispersion varit modes mesure type cours aujourdhui entreprises
516,"Les égouts soufflaient par leurs bouches de granit leurs haleines empestées, et les cuisines souterraines jetaient à la rue, par leurs fenêtres basses, les miasmes infâmes des eaux de vaisselle et des vieilles sauces.",C2,gouts soufflaient leurs bouches granit leurs haleines empestes cuisines souterraines jetaient rue leurs fentres basses miasmes infmes eaux vaisselle vieilles sauces
517,Qu'est-ce que tu regardes ?,A1,questce regardes
518,C'est pour moi une grande déception de ne pas pouvoir vous accueillir à Zurich,B1,cest grande dception pouvoir accueillir zurich
519,"Au Nord la forêt, au Sud de hautes montagnes les séparaient presque entièrement du reste du monde.",B2,nord fort sud hautes montagnes sparaient presque entirement reste monde
520,Il n'y a pas beaucoup de voitures donc il n'y a pas d'embouteillage,B1,ny a beaucoup voitures donc ny a dembouteillage
521,"Certaines entreprises refusent systématiquement les quinquas, s'insurge Danièle Lepeu, qui dirige l'agence seniors de la société de travail temporaire Adecco, à Boulogne-Billancourt.",C1,certaines entreprises refusent systmatiquement quinquas sinsurge danile lepeu dirige lagence seniors socit travail temporaire adecco boulognebillancourt
522,"Ce soir, il perd de sa puissance",A2,soir perd puissance
523,Il y a un nouveau film avec son acteur préféré,A2,a nouveau film acteur prfr
524,Ma mère m'a exceptionnellement laissé boire du vin chaud même si je n'ai normalement pas le droit,B1,mre exceptionnellement laiss boire vin chaud mme si nai normalement droit
525,"J'ai pas peur de dire ""non"" après c'est vraiment une question de feeling",A2,jai peur dire non aprs cest vraiment question feeling
526,Il hochait la tête doucement tout en regardant mon avion.,B1,hochait tte doucement tout regardant avion
527,"700 000 tonnes de couches usagées sont jetées chaque année au Japon, ce qui représente jusqu'à 25 % des déchets incinérés dans certaines communes.",B2,tonnes couches usages jetes chaque anne japon reprsente jusqu dchets incinrs certaines communes
528,"Dans le centre de la ville, il y a un très joli quartier, plein de magasins chics et de bons restaurants",A1,centre ville a trs joli quartier plein magasins chics bons restaurants
529,"Bonjour. Puis-je avoir votre passeport et votre billet, s'il-vous-plaît ?",A1,bonjour puisje avoir passeport billet silvousplat
530,"Toutes ces données indiquent ""que le problème de la malnutrition devient plus complexe et que les stratégies de lutte des pays et des organisations internationales devront s'attaquer au triple fardeau qui pèse désormais sur les pays en développement : les maladies infectieuses, les carences alimentaires et les maladies chroniques liées à la surcharge pondérale"", précise Francis Delpeuch.",C1,toutes donnes indiquent problme malnutrition devient plus complexe stratgies lutte pays organisations internationales devront sattaquer triple fardeau pse dsormais pays dveloppement maladies infectieuses carences alimentaires maladies chroniques lies surcharge pondrale prcise francis delpeuch
531,"C'est pourquoi, dans le désert, les premiers déplacements s'effectuent tôt le matin, avant 8 h 30, pour profiter de la fraîcheur persistante de la nuit.",B2,cest pourquoi dsert premiers dplacements seffectuent tt matin avant h profiter fracheur persistante nuit
532,"Et puis surtout, j'attendais ton arrivée",A2,puis surtout jattendais arrive
533,Les ressources disponibles en ligne peuvent faciliter l'apprentissage des lycéens.,B2,ressources disponibles ligne peuvent faciliter lapprentissage lycens
534,Ne renonce jamais aux cruautés qui vivifient la passion et lui redonnent du lustre.,C1,renonce jamais cruauts vivifient passion redonnent lustre
535,Il n'est pas fatigué et décide de marcher jusqu'à Notre Dame de la Garde,B1,nest fatigu dcide marcher jusqu dame garde
536,"Pour les habitants des quartiers historiques, la vie n'est plus la même : les rues pleines de touristes perdent peu à peu leurs magasins de quartier.",B1,habitants quartiers historiques vie nest plus mme rues pleines touristes perdent peu peu leurs magasins quartier
537,Disons que la coopération fait partie de l'arsenal pédagogique des élèves.,C1,disons coopration fait partie larsenal pdagogique lves
538,Eus-tu sorti les abats congelés du frigo hier soir afin qu'ils soient à température ambiantes pour le repas de ce midi ?,C1,eustu sorti abats congels frigo hier soir afin quils temprature ambiantes repas midi
539,Il est très satisfait de votre travail.,B1,trs satisfait travail
540,Virginie adore les vacances à la mer,A1,virginie adore vacances mer
541,"J'ai déjà pris l'avion car nous sommes allés à Rome en Italie, il y a deux ans",A1,jai dj pris lavion car alls rome italie a deux ans
542,Une deuxième balle fit étinceler le pavé à côté de lui.,B2,deuxime balle fit tinceler pav ct
543,"Si l'épicerie de quartier avait été ouverte en ce jour congé, comme indiqué sur le panneau informatif nous aurions acheté du lait et du sirop d'érable pour préparer du pain perdu aux enfants.",B2,si lpicerie quartier ouverte jour cong comme indiqu panneau informatif achet lait sirop drable prparer pain perdu enfants
544,"Dès sa mise sous tension, un ordinateur exécute, l'une après l'autre, des instructions qui lui font lire, manipuler, puis réécrire un ensemble de données déterminées par une mémoire morte d'amorçage.",C2,ds mise sous tension ordinateur excute lune aprs lautre instructions font lire manipuler puis rcrire ensemble donnes dtermines mmoire morte damorage
545,Elle a 20 ans,A1,a ans
546,Une étude montre que ce vaccin offre un taux de protection élevé qui permet d'éviter l'hospitalisation.,B2,tude montre vaccin offre taux protection lev permet dviter lhospitalisation
547,"En même temps que les idées, la mode, les critères de comportement social, empruntés à la France, vont peu à peu façonner la société policée de l'Europe continentale et même dans une certaine mesure de l'Angleterre.",C2,mme temps ides mode critres comportement social emprunts france vont peu peu faonner socit police leurope continentale mme certaine mesure langleterre
548,"Elle prendra un pseudonyme masculin pour poursuivre ses travaux qui, revisités il y a peu, ont montré qu'elle avait imaginé les prémisses des travaux de Poincaré.",B2,prendra pseudonyme masculin poursuivre travaux revisits a peu montr quelle imagin prmisses travaux poincar
549,"Désolé pour le retard, nous sommes très occupés ce soir.",A2,dsol retard trs occups soir
550,Je suis allée voir un film d'humour en plein air avec mon petit copain.,A2,alle voir film dhumour plein air petit copain
551,Celle‐ci est idéalement réduite dans la mesure du possible à travers la définition de critères de classification clairs et par la triangulation des points de vue des experts du domaine.,B2,celleci idalement rduite mesure possible travers dfinition critres classification clairs triangulation points vue experts domaine
552,Je ne suis jamais content.,A1,jamais content
553,Très bonne journée à toi !,A1,trs bonne journe
554,Il doit se dépêcher pour ne pas être en retard à l'école.,A2,doit depecher etre retard a lecole
555,"Si j'appuie là, c'est douleureux.",A2,si jappuie cest douleureux
556,"Je dirais qu'Andy Warhol est l'artiste le plus complexe, multi-facettes et révolutionnaire de ces soixante dernières années.",B2,dirais quandy warhol lartiste plus complexe multifacettes rvolutionnaire soixante dernires annes
557,"Ils ont quitté en urgence leur maison, à l'approche des flammes et ont décidé de dormir dans leur voiture très équipée",B1,quitt urgence maison lapproche flammes dcid dormir voiture trs quipe
558,Elle était heureuse,A2,tait heureuse
559,"La seconde modernité y adjoint un individualisme plus concret qui valorise la construction des identités de chacun et de chacune, puisque l'émancipation des femmes ressortit de cette période.",C1,seconde modernit adjoint individualisme plus concret valorise construction identits chacun chacune puisque lmancipation femmes ressortit cette priode
560,Il achète des légumes et des fruits.,A1,achte lgumes fruits
561,Nous sommes en retard.,A1,retard
562,"Aussitôt installés derrière nos pupitres, nous commençâmes la discussion thématique inscrite à l'ordre du jour.",C2,aussitt installs derrire pupitres commenmes discussion thmatique inscrite lordre jour
563,"Il existera bien sûr des moyens détournés de tricher, mais l'accent sera mis sur la dissuasion, à la manière des contrôles antidopage, l'autre condition étant évidemment d'imaginer des sujets qui ne se prêtent pas au copier-coller.",B2,existera bien sr moyens dtourns tricher laccent mis dissuasion manire contrles antidopage lautre condition tant videmment dimaginer sujets prtent copiercoller
564,"Selon les auteurs de l'article Cahiers santé, l'accès facile à des huiles peu onéreuses a joué un rôle prépondérant en raison d'une production industrielle généralisée à bas prix.",C1,selon auteurs larticle cahiers sant laccs facile huiles peu onreuses a jou rle prpondrant raison dune production industrielle gnralise bas prix
565,Cela nécessite des équipements et suffsamment de place.,B2,cela ncessite quipements suffsamment place
566,"Vers dix heures, je monte dans ma chambre.",A2,vers dix heures monte chambre
567,"Innovation et simplicité sont les jalons du seul chemin à parcourir pour retrouver concrètement et durablement un élan créatif adapté à un monde qui change, évolue mais reste friand de bonnes choses.",C1,innovation simplicit jalons seul chemin parcourir retrouver concrtement durablement lan cratif adapt monde change volue reste friand bonnes choses
568,Parce que jamais je céderai devant la barbarie.,B1,parce jamais cderai devant barbarie
569,"Dans ces lieux imaginés, rien ne nous perturbera",C2,lieux imagins rien perturbera
570,"J'habite au Niger, et vous ?",A1,jhabite niger
571,"Pis ensuite Champlain poursuit l'exploration du Québec, qui à l'époque s'appelait la Nouvelle France",C1,pis ensuite champlain poursuit lexploration qubec lpoque sappelait nouvelle france
572,Les profils retenus seront rappelés pour participer aux entretiens et aux quarante-deux heures de concours.,B2,profils retenus rappels participer entretiens quarantedeux heures concours
573,"Paul Andreu, l'architecte de l'aéroport de Roissy (du terminal 1 au terminal 2E-K) ainsi que de l'Opéra de Pékin entre autres, s'était demandé s'il devait installer des portes automatiques dans un aéroport qu'il était en train de concevoir comme le requérait tout aéroport digne de ce nom car, après un rapide calcul à partir des conditions locales, le coût d'achat et surtout de maintenance d'une porte automatique revenait plus cher que le salaire d'un portier qui pouvait nourrir une famille avec.",B2,paul andreu larchitecte laroport roissy terminal terminal ek ainsi lopra pkin entre autres stait demand sil devait installer portes automatiques aroport quil tait train concevoir comme requrait tout aroport digne nom car aprs rapide calcul partir conditions locales cot dachat surtout maintenance dune porte automatique revenait plus cher salaire dun portier pouvait nourrir famille
574,Tu as passé une bonne journée.,A1,pass bonne journe
575,La vie en France est très différente de celle au Canada.,A1,vie france trs diffrente celle canada
576,C'est bientôt l'anniversaire de Julie.,A1,cest bientt lanniversaire julie
577,"Trop de charlatans et songe-creux en partie malhonnêtes, en partie dupes de leur propre enthousiasme, ont fait au genre humain de magnifiques promesses qu'ils étaient bien empêchés de tenir.",C2,trop charlatans songecreux partie malhonntes partie dupes propre enthousiasme fait genre humain magnifiques promesses quils taient bien empchs tenir
578,"Au milieu de ces collines aux formes admirables et se précipitant vers le lac par des pentes si singulières, je puis garder toutes les illusions des descriptions du Tasse et de l'Arioste.",C1,milieu collines formes admirables prcipitant vers lac pentes si singulires puis garder toutes illusions descriptions tasse larioste
579,Tu parles bien anglais.,A1,parles bien anglais
580,Bonjour à tous !,A1,bonjour tous
581,M. Aphatie a été le premier à animer une émission dite sérieuse à la radio puis à la télévision.,B1,aphatie a premier animer mission dite srieuse radio puis tlvision
582,"Mais ils sont arrivés en plein hiver, au mois de décembre 1620, et ne sont ni de grands agriculteurs ni de grands chasseurs",B2,arrivs plein hiver mois dcembre ni grands agriculteurs ni grands chasseurs
583,Ce chiffre devrait encore augmenter dans les prochaines années.,C1,chiffre devrait encore augmenter prochaines annes
584,Ça faisait longtemps que je ne m'étais pas fait plaisir.,A2,a faisait longtemps mtais fait plaisir
585,Nous allons à Paris pour prendre un train.,A1,allons paris prendre train
586,Certains partenaires ne demandent pas votre consentement et s'appuient sur leur intérêt commercial légitime pour traiter vos données.,C2,certains partenaires demandent consentement sappuient intrt commercial lgitime traiter donnes
587,Notre héros croyait tous les Français profondément émus comme lui de l'extrême danger que courait la patrie.,B2,hros croyait tous franais profondment mus comme lextrme danger courait patrie
588,C'est auprès de son grand-père que Grégoire trouvera le courage de lutter pour devenir quelqu'un et grandir tout simplement.,A2,cest auprs grandpre grgoire trouvera courage lutter devenir quelquun grandir tout simplement
589,J'aime les panoramas.,A2,jaime panoramas
590,"J'étais toujours dans ses jambes, effectivement, à goûter tous ses plats",C1,jtais toujours jambes effectivement goter tous plats
591,"Au même instant, Fabrice se faisait annoncer chez la comtesse Pietranera.",C1,mme instant fabrice faisait annoncer chez comtesse pietranera
592,"Si nous savions conduire l'automobile à boite automatique, nous pourrions l'emprunter le samedi soir pour nous rendre à l'observatoire.",B2,si savions conduire lautomobile boite automatique pourrions lemprunter samedi soir rendre lobservatoire
593,Je suis tout à fait d'accord avec la jeune fille.,A2,tout fait daccord jeune fille
594,J'ai 36 ans.,A2,jai ans
595,"À cette occasion, a été annoncé un grand plan vélo destiné à faire décoller enfin ce mode de transport, notamment grâce à l'indemnité kilométrique : ce dispositif autorise l'employeur à dédommager ses salariés se rendant au travail à vélo (environ 0, 25 euro par kilomètre parcouru).",B2,cette occasion a annonc grand plan vlo destin faire dcoller enfin mode transport notamment grce lindemnit kilomtrique dispositif autorise lemployeur ddommager salaris rendant travail vlo environ euro kilomtre parcouru
596,Je peux m'asseoir ici ?,A1,peux masseoir ici
597,Ne pas respirer les aérosols.,A2,respirer arosols
598,Je mange une pomme.,A1,mange pomme
599,Il me reste des croissants.,A1,reste croissants
600,"Dès que nous eûmes reçu de ses nouvelles, nous fûmes soulagés",C2,ds emes reu nouvelles fmes soulags
601,Je préfère aller au travail à vélo,A1,prfre aller travail vlo
602,"A son anniversaire, il a eu autant d'argent que son frère.",B1,a anniversaire a autant dargent frre
603,"Le matin, j'avais eu un autre rendez-vous pour un film encore plus intéressant, alors je ne sais pas ce que je devais faire!",B1,matin javais autre rendezvous film encore plus intressant alors sais devais faire
604,Nous apprécions qu'ils aient répondu sur-le-champ.,C1,apprcions quils rpondu surlechamp
605,"Tard le soir, Jules rentre tout seul.",A1,tard soir jules rentre tout seul
606,Il a un pantalon vert et une chemise blanche,A1,a pantalon vert chemise blanche
